id,army,size,unit,xcoord,ycoord
"1",K,"10",KJ,20.1210792505171,53.4715686769153
"13",K,"8",KJ,20.150606016959,53.493162062627
"7",K,"10",KJ,20.1328607768429,53.4830219254177
"4",K,"10",KJ,20.1266234981998,53.477477677735
"2",K,"10",KJ,20.1236325224762,53.4726629363263
"3",K,"10",KJ,20.1253468622202,53.4753621095403
"5",K,"10",KJ,20.1288241754598,53.4794655823318
"6",K,"10",KJ,20.1324230730785,53.481635863497
"10",K,"8",KJ,20.1456453742955,53.4907182166089
"11",K,"8",KJ,20.1472502880984,53.4912288710008
"12",K,"9",KJ,20.150241263822,53.4945845998614
"8",K,"10",KJ,20.1368639425217,53.4851192559555
"9",K,"10",KJ,20.1425084973171,53.487034209925
"14",K,"7",KJ,20.1194013860868,53.4710944978371
"15",K,"8",KJ,20.1238513743585,53.4742313748155
"16",K,"9",KJ,20.1259304672395,53.4768940727158
"17",K,"7",KJ,20.1275353810424,53.4782254216659
"18",K,"8",KJ,20.1299427517467,53.4797756224982
"19",K,"9",KJ,20.1353046228609,53.4846268392206
"20",K,"8",KJ,20.1374566663694,53.4859399505139
"21",K,"6",KJ,20.140684731632,53.4854657714358
"22",K,"10",KJ,20.1432744789048,53.4885296977868
"23",K,"10",KJ,20.1443322630022,53.4895874818842
"24",K,"10",KJ,20.1492199550383,53.49181247602
"25",K,"10",KP,20.1227571149474,53.4721158066208
"26",K,"10",KP,20.1274137966634,53.4764016559808
"27",K,"10",KP,20.1310005358441,53.4799579990667
"28",K,"10",KP,20.1394445709661,53.4850645429851
"29",K,"10",KP,20.151955603566,53.4927608341763
"35",K,"10",KJ,20.1129280178467,53.4669282831195
"36",K,"10",KJ,20.1084091637704,53.4675855709851
"37",K,"10",KJ,20.1147690212466,53.4793683148285
"38",K,"10",KJ,20.1230610758949,53.4887303120121
"39",K,"10",KJ,20.1274381135391,53.491064732089
"40",K,"1",KM,20.1233923933277,53.4865053178763
"41",K,"10",KJ,20.11092695487,53.4849125625113
"42",K,"10",KJ,20.1093706748187,53.4824322411795
"43",K,"10",KJ,20.1061908172238,53.4848393774583
"44",K,"10",KJ,20.1031508608452,53.4841820895927
"45",K,"10",KJ,20.1008503533155,53.4776913719194
"46",K,"10",KJ,20.0988784897185,53.4789237866675
