id,unit,army,size,xcoord,ycoord
"52",PSP,P,"5",20.1220397671112,53.4702616448409
"51",PSP,P,"5",20.1199971495439,53.4697753073249
"59",PSP,P,"5",20.1436331528229,53.4949675906552
"58",PSP,P,"5",20.1412014652428,53.4914173267882
"57",PSP,P,"5",20.1376512013757,53.4884506679404
"56",PSP,P,"5",20.1348304437828,53.4829064202577
"55",PSP,P,"5",20.1317178836802,53.4801829301679
"54",PSP,P,"5",20.1288971260872,53.4773621725749
"53",PSP,P,"5",20.1256872984814,53.4738605424595
"60",POW,P,"10",20.1188785732571,53.4682190272736
"67",POW,P,"10",20.1198998820407,53.4655928046871
"61",POW,P,"10",20.120969824576,53.4697266735733
"68",POW,P,"10",20.1216506970984,53.4662250434579
"62",POW,P,"10",20.1234987796593,53.4701157435861
"63",POW,P,"10",20.1257845659847,53.4716233898858
"64",POW,P,"10",20.127827183552,53.4756599912688
"65",POW,P,"10",20.1310856449094,53.4775567075814
"66",POW,P,"10",20.1336632337443,53.4787239176198
"69",POW,P,"10",20.1244228209398,53.4680731260188
"70",POW,P,"10",20.1253468622202,53.470504813599
"71",POW,P,"10",20.1287025910808,53.4739091762112
"72",POW,P,"10",20.131620616177,53.4760490612817
"73",POW,P,"10",20.132106953693,53.4777998763394
"74",POW,P,"10",20.1339550362539,53.4807179014355
"75",POW,P,"10",20.1283742826894,53.4578905749668
"76",POW,P,"10",20.1360152541276,53.4626559119928
"77",POW,P,"10",20.1412735570527,53.4689823076996
"78",POW,P,"10",20.1440670304817,53.471529298179
"79",POW,P,"10",20.1436562255657,53.4670926050859
"80",POW,P,"10",20.1460388940787,53.4697217565485
"84",POW,P,"10",20.1632105395687,53.4821280650125
"83",POW,P,"10",20.1608278710557,53.474733576524
"82",POW,P,"10",20.1615673199046,53.4682428588508
"81",POW,P,"10",20.1679758765946,53.4626559119928
"85",PPS,P,"10",20.1341009375087,53.4815446752128
"86",POL,P,"10",20.1362894563309,53.4840249965445
"87",POL,P,"10",20.1353654150504,53.4867484866343
"89",POL,P,"10",20.1385752426562,53.4891315404628
"91",POL,P,"10",20.1407151277267,53.4909309892721
"93",POL,P,"10",20.1417364365104,53.4931681418459
"95",POL,P,"10",20.1418823377652,53.4943353518843
"88",POL,P,"10",20.1367271600953,53.4875266266599
"90",POL,P,"10",20.1396938189431,53.4902501167497
"92",POL,P,"10",20.1416878027588,53.4923413680686
"94",POL,P,"10",20.1436817865745,53.4940921831263
"96",POL,P,"10",20.1448003628614,53.4959402656872
"101",POL,P,"10",20.163127267761,53.4838223450758
"100",POL,P,"10",20.1645092535267,53.4857225755037
"99",POL,P,"10",20.1652002464096,53.488918417587
"98",POL,P,"10",20.1645956276371,53.4903867774631
"97",POL,P,"10",20.1626953972092,53.493496245436
"102",PKP,P,"1",20.1606063321323,53.4793561563907
"103",PKW,P,"1",20.145700087266,53.4890464313975
